name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
Personal Shopper,6,6,2017,6.1,37000,Olivier Assayas,Olivier Assayas,Kristen Stewart,14,6000000,2840408,CG Cinéma,105,-3159592,3
Our Kind of Traitor,6,5,2016,6.2,21000,Susanna White,John le Carré,Carlos Acosta,52,52211949,10711027,StudioCanal,108,-41500922,3
Love & Friendship,4,4,2016,6.4,24000,Whit Stillman,Whit Stillman,Kate Beckinsale,23,3000000,21401949,Westerly Films,90,18401949,0
Bleed for This,6,3,2016,6.8,26000,Ben Younger,Ben Younger,Miles Teller,53,6000000,6698679,Verdi Productions,117,698679,0
Whiskey Tango Foxtrot,6,3,2016,6.6,51000,Glenn Ficarra,Robert Carlock,Tina Fey,53,35000000,24972139,Broadway Video,112,-10027861,0
Loving,5,3,2016,7.0,33000,Jeff Nichols,Jeff Nichols,Ruth Negga,52,9000000,12957265,Raindog Films,123,3957265,0
"I, Daniel Blake",6,6,2017,7.9,56000,Ken Loach,Paul Laverty,Dave Johns,52,55224657,15793051,Sixteen Films,100,-39431606,3
Sanam Teri Kasam,3,6,2016,7.5,11000,Radhika Rao,Radhika Rao,Harshvardhan Rane,20,52211949,1386707,Jhoom Jhoom Productions,154,-50825242,0
Pet,6,9,2016,5.7,16000,Carles Torrens,Jeremy Slater,Dominic Monaghan,45,52211949,22003,Cine365 Films,94,-52189946,3
Kingsglaive: Final Fantasy XV,5,2,2016,6.8,21000,Takeshi Nozue,Takashi Hasegawa,Aaron Paul,27,52211949,5725482,Square Visual Works Co. Ltd.,110,-46486467,0
Mr. Church,5,4,2016,7.7,27000,Bruce Beresford,Susan McMartin,Eddie Murphy,53,8000000,685780,Cinelou Films,104,-7314220,3
